location_id,location_name,region,drug_id,drug_name,category,criticality,safety_stock,total_demand,total_fulfilled,stockout_records,unfulfilled_qty,fill_rate_pct,stockout_rate_pct,avg_closing_stock,stock_vs_safety_stock
1,North DC,North,1,Drug 01,Analgesic,Critical,959,50917,48181,23,2736,94.62654908969499,6.301369863013699,704.9068493150685,-254.09315068493152
1,North DC,North,2,Drug 02,Antibiotic,Critical,428,38192,34553,45,3639,90.47182656053624,12.32876712328767,411.2712328767123,-16.728767123287696
1,North DC,North,3,Drug 03,Cardiac,Critical,1007,55296,52629,19,2667,95.17686631944444,5.205479452054795,786.7013698630137,-220.29863013698628
1,North DC,North,4,Drug 04,Diabetes,Critical,841,56486,53812,22,2674,95.26608363134228,6.027397260273973,696.5397260273973,-144.46027397260275
1,North DC,North,5,Drug 05,Respiratory,Critical,401,24029,23396,14,633,97.3656831328811,3.835616438356164,335.5123287671233,-65.48767123287672
1,North DC,North,6,Drug 06,Gastro,Critical,975,66000,60192,43,5808,91.2,11.780821917808218,759.8109589041096,-215.1890410958904
1,North DC,North,7,Drug 07,CNS,Critical,204,19039,17273,42,1766,90.72430274699302,11.506849315068493,191.2082191780822,-12.791780821917797
1,North DC,North,8,Drug 08,Vitamin,Critical,750,44968,42322,28,2646,94.11581569115816,7.671232876712328,599.0657534246575,-150.9342465753425
1,North DC,North,9,Drug 09,Analgesic,High,1072,53334,51088,17,2246,95.788802639967,4.657534246575342,813.8958904109589,-258.10410958904106
1,North DC,North,10,Drug 10,Antibiotic,High,611,33790,32678,16,1112,96.7090855282628,4.383561643835616,495.72054794520545,-115.27945205479455
1,North DC,North,11,Drug 11,Cardiac,High,363,34035,31097,41,2938,91.36770971059204,11.232876712328768,350.6986301369863,-12.30136986301369
1,North DC,North,12,Drug 12,Diabetes,High,686,39812,37891,24,1921,95.17482166181051,6.575342465753424,542.8547945205479,-143.1452054794521
1,North DC,North,13,Drug 13,Respiratory,High,466,34147,30379,51,3768,88.96535566814069,13.972602739726028,373.8054794520548,-92.19452054794522
1,North DC,North,14,Drug 14,Gastro,High,1028,69163,63819,32,5344,92.27332533290921,8.767123287671232,814.517808219178,-213.48219178082195
1,North DC,North,15,Drug 15,CNS,High,602,40050,37015,31,3035,92.42197253433208,8.493150684931507,475.4328767123288,-126.56712328767122
1,North DC,North,16,Drug 16,Vitamin,High,354,20510,19979,13,531,97.41101901511458,3.5616438356164384,297.15616438356165,-56.843835616438355
1,North DC,North,17,Drug 17,Analgesic,High,394,22600,21792,18,808,96.42477876106194,4.931506849315069,317.413698630137,-76.58630136986301
1,North DC,North,18,Drug 18,Antibiotic,Standard,1136,60111,57650,19,2461,95.90590740463476,5.205479452054795,867.0054794520548,-268.99452054794517
1,North DC,North,19,Drug 19,Cardiac,Standard,809,61258,58848,20,2410,96.06581997453394,5.47945205479452,771.8712328767124,-37.128767123287616
1,North DC,North,20,Drug 20,Diabetes,Standard,414,35798,33510,31,2288,93.60858148499916,8.493150684931507,385.8082191780822,-28.191780821917803
1,North DC,North,21,Drug 21,Respiratory,Standard,1079,58484,54879,25,3605,93.83592093564052,6.8493150684931505,798.9835616438356,-280.0164383561644
1,North DC,North,22,Drug 22,Gastro,Standard,245,14069,13236,27,833,94.0791811784775,7.397260273972603,181.17534246575343,-63.82465753424657
1,North DC,North,23,Drug 23,CNS,Standard,721,45111,43326,16,1785,96.04309370220123,4.383561643835616,618.4,-102.60000000000002
1,North DC,North,24,Drug 24,Vitamin,Standard,450,39508,34530,52,4978,87.40002024906349,14.246575342465754,420.1945205479452,-29.805479452054783
1,North DC,North,25,Drug 25,Analgesic,Standard,807,50213,47942,22,2271,95.47726684324776,6.027397260273973,639.9260273972603,-167.07397260273967
2,Central DC,Central,1,Drug 01,Analgesic,Critical,959,60209,55042,38,5167,91.41822651098673,10.41095890410959,722.9397260273972,-236.06027397260277
2,Central DC,Central,2,Drug 02,Antibiotic,Critical,428,45373,42338,33,3035,93.31099993388138,9.04109589041096,484.9178082191781,56.917808219178085
2,Central DC,Central,3,Drug 03,Cardiac,Critical,1007,65886,63931,14,1955,97.03275354400024,3.835616438356164,882.6356164383561,-124.36438356164388
2,Central DC,Central,4,Drug 04,Diabetes,Critical,841,67955,62349,38,5606,91.75042307409315,10.41095890410959,733.9232876712329,-107.07671232876714
2,Central DC,Central,5,Drug 05,Respiratory,Critical,401,28580,26799,30,1781,93.76836948915326,8.219178082191782,341.28767123287673,-59.71232876712327
2,Central DC,Central,6,Drug 06,Gastro,Critical,975,79030,74400,27,4630,94.14146526635454,7.397260273972603,892.2657534246575,-82.73424657534247
2,Central DC,Central,7,Drug 07,CNS,Critical,204,22159,19944,46,2215,90.00406155512432,12.602739726027398,227.7890410958904,23.78904109589041
2,Central DC,Central,8,Drug 08,Vitamin,Critical,750,52977,46870,52,6107,88.47235592804425,14.246575342465754,571.5506849315068,-178.4493150684932
2,Central DC,Central,9,Drug 09,Analgesic,High,1072,63407,60896,20,2511,96.03986941504881,5.47945205479452,826.0493150684931,-245.95068493150688
2,Central DC,Central,10,Drug 10,Antibiotic,High,611,40224,38690,22,1534,96.18635640413683,6.027397260273973,498.86575342465756,-112.13424657534244
2,Central DC,Central,11,Drug 11,Cardiac,High,363,40290,35781,55,4509,88.80863737900223,15.068493150684931,381.23561643835615,18.235616438356146
2,Central DC,Central,12,Drug 12,Diabetes,High,686,47471,44018,33,3453,92.72608539950707,9.04109589041096,566.1643835616438,-119.83561643835617
2,Central DC,Central,13,Drug 13,Respiratory,High,466,40427,37191,35,3236,91.99544858634081,9.58904109589041,446.90410958904107,-19.09589041095893
2,Central DC,Central,14,Drug 14,Gastro,High,1028,81729,76167,30,5562,93.19458209448298,8.219178082191782,945.3013698630137,-82.69863013698625
2,Central DC,Central,15,Drug 15,CNS,High,602,47216,40824,60,6392,86.46221619789901,16.438356164383563,485.9095890410959,-116.0904109589041
2,Central DC,Central,16,Drug 16,Vitamin,High,354,24876,23417,27,1459,94.13490914938093,7.397260273972603,307.386301369863,-46.61369863013698
2,Central DC,Central,17,Drug 17,Analgesic,High,394,27317,24998,42,2319,91.51078083244866,11.506849315068493,311.3068493150685,-82.69315068493148
2,Central DC,Central,18,Drug 18,Antibiotic,Standard,1136,72268,67223,33,5045,93.01904023910998,9.04109589041096,853.9095890410958,-282.09041095890416
2,Central DC,Central,19,Drug 19,Cardiac,Standard,809,73240,63867,55,9373,87.20234844347351,15.068493150684931,716.8684931506849,-92.13150684931509
2,Central DC,Central,20,Drug 20,Diabetes,Standard,414,42246,37209,56,5037,88.07697770203096,15.342465753424657,406.2219178082192,-7.778082191780811
2,Central DC,Central,21,Drug 21,Respiratory,Standard,1079,70218,66771,24,3447,95.09100230710074,6.575342465753424,912.5452054794521,-166.45479452054792
2,Central DC,Central,22,Drug 22,Gastro,Standard,245,16676,15659,28,1017,93.90141520748381,7.671232876712328,198.07397260273973,-46.92602739726027
2,Central DC,Central,23,Drug 23,CNS,Standard,721,53419,47166,50,6253,88.29442707650836,13.698630136986301,581.6465753424658,-139.35342465753422
2,Central DC,Central,24,Drug 24,Vitamin,Standard,450,47467,41763,61,5704,87.98323045484231,16.71232876712329,443.9205479452055,-6.079452054794501
