drug_id,drug_name,category,criticality,avg_daily_demand,avg_lead_time,lead_time_stddev,safety_stock,lead_time_demand,demand_lead_time_variability,baseline_rop,scenario_rop_95,incremental_inventory_vs_safety_stock
14,Drug 14,Gastro,High,182.92876712328768,17.073170731707318,7.51385790910154,1028,3123.174072836619,1382.4209078120423,4151.1740728366185,5404.168570726489,4376.168570726489
19,Drug 19,Cardiac,Standard,163.23013698630137,17.42,7.668350539718434,809,2843.46898630137,1258.5054372828668,3652.46898630137,4920.0029578181,4111.0029578181
6,Drug 06,Gastro,Critical,176.30246575342466,16.127659574468087,7.0397564672475,975,2843.346149810551,1248.6286199435187,3818.346149810551,4903.583372717358,3928.5833727173576
21,Drug 21,Respiratory,Standard,157.5167123287671,18.85,6.973342096871485,1079,2969.19002739726,1106.218105775101,4048.19002739726,4794.449901926177,3715.4499019261766
18,Drug 18,Antibiotic,Standard,161.36438356164385,17.363636363636363,6.410541421932632,1136,2801.8724782067247,1042.7629063284392,3937.8724782067247,4522.431273648649,3386.431273648649
4,Drug 04,Diabetes,Critical,151.32383561643834,16.88,6.719047551550741,841,2554.346345205479,1024.2198214834702,3395.346345205479,4244.309050653204,3403.3090506532044
9,Drug 09,Analgesic,High,141.53698630136986,16.953488372093023,7.2783638858273605,1072,2399.5456514813636,1036.3500072877252,3471.5456514813636,4109.52316350611,3037.52316350611
3,Drug 03,Cardiac,Critical,146.9627397260274,15.175438596491228,6.638861683809652,1007,2230.224032684451,982.2784701512502,3237.224032684451,3850.9835084340134,2843.9835084340134
25,Drug 25,Analgesic,Standard,134.29972602739727,17.547169811320753,6.646224741218638,807,2356.5800982165933,899.4766027358036,3163.5800982165933,3840.7164927306694,3033.7164927306694
1,Drug 01,Analgesic,Critical,134.986301369863,15.708333333333334,6.544585336155548,959,2120.409817351598,889.7440988346564,3079.409817351598,3588.4875804287813,2629.4875804287813
8,Drug 08,Vitamin,Critical,119.52602739726028,16.581818181818182,7.634112222222543,750,1981.9588542963886,917.3983170816471,2731.9588542963884,3495.666077481106,2745.666077481106
23,Drug 23,CNS,Standard,119.86410958904109,16.76,7.007310468360881,721,2008.922476712329,845.4311052794025,2729.9224767123287,3403.883800423343,2682.883800423343
12,Drug 12,Diabetes,High,105.85972602739726,19.685185185185187,6.7380183757817935,686,2083.8683105022833,719.5138731781998,2769.8683105022833,3271.0662012463126,2585.0662012463126
24,Drug 24,Vitamin,Standard,105.42027397260274,15.236842105263158,6.8726544727190415,450,1606.2720692141313,729.4923307802767,2056.272069214131,2809.9344150015877,2359.9344150015877
13,Drug 13,Respiratory,High,90.9041095890411,17.305084745762713,7.242188631847339,466,1573.1033201764571,662.7968800246529,2039.1033201764571,2666.7181722171345,2200.7181722171345
15,Drug 15,CNS,High,105.73424657534247,14.070175438596491,6.510072220805119,602,1487.6993991828888,692.7722021650427,2089.6993991828886,2630.773532755209,2028.773532755209
10,Drug 10,Antibiotic,High,89.69698630136986,16.82608695652174,7.513189410821036,611,1509.2492912447885,678.2072888324747,2120.2492912447888,2628.2913178183717,2017.2913178183717
20,Drug 20,Diabetes,Standard,94.70794520547945,16.4390243902439,6.706563150533069,414,1556.9062211827595,640.096338010247,1970.9062211827595,2613.065178899667,2199.065178899667
11,Drug 11,Cardiac,High,90.59013698630137,14.416666666666666,7.23945593413084,363,1306.007808219178,659.4622242926333,1669.007808219178,2394.120478302023,2031.120478302023
2,Drug 02,Antibiotic,Critical,101.85643835616439,12.979591836734693,6.199044679258536,428,1322.054995806542,635.598816731918,1750.054995806542,2370.7930434142063,1942.7930434142063
5,Drug 05,Respiratory,Critical,63.82246575342466,14.630434782608695,6.417905305207943,401,933.7504228707564,413.0716703146673,1334.7504228707564,1615.3186788899575,1214.3186788899575
17,Drug 17,Analgesic,High,60.625205479452056,15.981481481481481,5.9581588653267605,394,968.8805986808726,365.1683768959585,1362.8805986808725,1571.408420559204,1177.408420559204
16,Drug 16,Vitamin,High,54.94575342465753,15.795454545454545,7.021329663812538,354,867.8931506849315,388.9204544252756,1221.8931506849315,1509.6119004866362,1155.6119004866362
7,Drug 07,CNS,Critical,50.154520547945204,16.5625,7.305552254963344,204,830.6842465753424,369.0776825495998,1034.6842465753425,1439.6624227821821,1235.6624227821821
22,Drug 22,Gastro,Standard,37.385205479452054,18.36842105263158,6.342924166392771,245,686.7071953857246,240.21077725945753,931.7071953857246,1083.0549778638294,838.0549778638294
